KODJAZ;TYPVAZ;AKRCIS1;KODCIS1;CHODNOTA1;TEXT1;AKRCIS2;KODCIS2;CHODNOTA2;TEXT2
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3000";"Extra-Regio";"OKRES_NUTS";101;"40002";"Extra-Regio"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3018";"Hlavní mìsto Praha";"OKRES_NUTS";101;"40924";"Praha"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40169";"Benešov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40177";"Beroun"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40185";"Kladno"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40193";"Kolín"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40207";"Kutná Hora"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40215";"Mìlník"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40223";"Mladá Boleslav"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40231";"Nymburk"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40240";"Praha-východ"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40258";"Praha-západ"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40266";"Pøíbram"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"OKRES_NUTS";101;"40274";"Rakovník"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"OKRES_NUTS";101;"40282";"Èeské Budìjovice"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"OKRES_NUTS";101;"40291";"Èeský Krumlov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"OKRES_NUTS";101;"40304";"Jindøichùv Hradec"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"OKRES_NUTS";101;"40312";"Písek"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"OKRES_NUTS";101;"40321";"Prachatice"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"OKRES_NUTS";101;"40339";"Strakonice"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"OKRES_NUTS";101;"40347";"Tábor"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"OKRES_NUTS";101;"40355";"Domažlice"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"OKRES_NUTS";101;"40363";"Klatovy"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"OKRES_NUTS";101;"40371";"Plzeò-mìsto"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"OKRES_NUTS";101;"40380";"Plzeò-jih"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"OKRES_NUTS";101;"40398";"Plzeò-sever"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"OKRES_NUTS";101;"40401";"Rokycany"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"OKRES_NUTS";101;"40410";"Tachov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3051";"Karlovarský kraj";"OKRES_NUTS";101;"40428";"Cheb"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3051";"Karlovarský kraj";"OKRES_NUTS";101;"40436";"Karlovy Vary"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3051";"Karlovarský kraj";"OKRES_NUTS";101;"40444";"Sokolov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"OKRES_NUTS";101;"40452";"Dìèín"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"OKRES_NUTS";101;"40461";"Chomutov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"OKRES_NUTS";101;"40479";"Litomìøice"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"OKRES_NUTS";101;"40487";"Louny"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"OKRES_NUTS";101;"40495";"Most"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"OKRES_NUTS";101;"40509";"Teplice"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"OKRES_NUTS";101;"40517";"Ústí nad Labem"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3077";"Liberecký kraj";"OKRES_NUTS";101;"40525";"Èeská Lípa"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3077";"Liberecký kraj";"OKRES_NUTS";101;"40533";"Jablonec nad Nisou"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3077";"Liberecký kraj";"OKRES_NUTS";101;"40541";"Liberec"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3077";"Liberecký kraj";"OKRES_NUTS";101;"40550";"Semily"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3085";"Královéhradecký kraj";"OKRES_NUTS";101;"40568";"Hradec Králové"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3085";"Královéhradecký kraj";"OKRES_NUTS";101;"40576";"Jièín"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3085";"Královéhradecký kraj";"OKRES_NUTS";101;"40584";"Náchod"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3085";"Královéhradecký kraj";"OKRES_NUTS";101;"40592";"Rychnov nad Knìžnou"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3085";"Královéhradecký kraj";"OKRES_NUTS";101;"40606";"Trutnov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3093";"Pardubický kraj";"OKRES_NUTS";101;"40614";"Chrudim"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3093";"Pardubický kraj";"OKRES_NUTS";101;"40622";"Pardubice"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3093";"Pardubický kraj";"OKRES_NUTS";101;"40631";"Svitavy"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3093";"Pardubický kraj";"OKRES_NUTS";101;"40649";"Ústí nad Orlicí"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3107";"Kraj Vysoèina";"OKRES_NUTS";101;"40657";"Havlíèkùv Brod"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3107";"Kraj Vysoèina";"OKRES_NUTS";101;"40665";"Jihlava"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3107";"Kraj Vysoèina";"OKRES_NUTS";101;"40673";"Pelhøimov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3107";"Kraj Vysoèina";"OKRES_NUTS";101;"40681";"Tøebíè"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3107";"Kraj Vysoèina";"OKRES_NUTS";101;"40690";"Žïár nad Sázavou"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"OKRES_NUTS";101;"40703";"Blansko"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"OKRES_NUTS";101;"40711";"Brno-mìsto"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"OKRES_NUTS";101;"40720";"Brno-venkov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"OKRES_NUTS";101;"40738";"Bøeclav"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"OKRES_NUTS";101;"40746";"Hodonín"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"OKRES_NUTS";101;"40754";"Vyškov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"OKRES_NUTS";101;"40762";"Znojmo"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3123";"Olomoucký kraj";"OKRES_NUTS";101;"40771";"Jeseník"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3123";"Olomoucký kraj";"OKRES_NUTS";101;"40789";"Olomouc"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3123";"Olomoucký kraj";"OKRES_NUTS";101;"40797";"Prostìjov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3123";"Olomoucký kraj";"OKRES_NUTS";101;"40801";"Pøerov"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3123";"Olomoucký kraj";"OKRES_NUTS";101;"40819";"Šumperk"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3131";"Zlínský kraj";"OKRES_NUTS";101;"40827";"Kromìøíž"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3131";"Zlínský kraj";"OKRES_NUTS";101;"40835";"Uherské Hradištì"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3131";"Zlínský kraj";"OKRES_NUTS";101;"40843";"Vsetín"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3131";"Zlínský kraj";"OKRES_NUTS";101;"40851";"Zlín"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3140";"Moravskoslezský kraj";"OKRES_NUTS";101;"40860";"Bruntál"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3140";"Moravskoslezský kraj";"OKRES_NUTS";101;"40878";"Frýdek-Místek"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3140";"Moravskoslezský kraj";"OKRES_NUTS";101;"40886";"Karviná"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3140";"Moravskoslezský kraj";"OKRES_NUTS";101;"40894";"Nový Jièín"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3140";"Moravskoslezský kraj";"OKRES_NUTS";101;"40908";"Opava"
"CS";"Editaèní vazba";"KRAJ_NUTS";100;"3140";"Moravskoslezský kraj";"OKRES_NUTS";101;"40916";"Ostrava-mìsto"

